x,v,time
-0.4291662600929822,-0.9033850654595851,14.576457645764577
-0.43368043490894925,-0.9012336140045516,14.581458145814581
-0.4381836707354822,-0.8990595619288155,14.586458645864587
-0.44267585369411594,-0.8968629593780352,14.591459145914593
-0.44715687031831186,-0.8946438571079846,14.596459645964597
-0.4516266075534623,-0.8924023064845502,14.601460146014603
-0.45608495275687877,-0.8901383594837373,14.606460646064606
-0.4605317936978061,-0.8878520686916629,14.611461146114612
-0.4649670185574098,-0.8855434873045616,14.616461646164618
-0.46939051592878217,-0.8832126691287835,14.621462146214622
-0.473802174816946,-0.8808596685807911,14.626462646264628
-0.47820188463884417,-0.878484540687166,14.631463146314632
-0.48258953522335174,-0.876087341084601,14.636463646364637
-0.48696501681126375,-0.873668126019908,14.641464146414641
-0.4913282200553079,-0.8712269523500104,14.646464646464647
-0.4956790360201331,-0.8687638775419495,14.651465146514653
-0.5000173561823145,-0.866278959672882,14.656465646564657
-0.5043430724303581,-0.8637722574300771,14.661466146614663
-0.5086560770646897,-0.8612438301109226,14.666466646664666
-0.5129562627976677,-0.8586937376229182,14.671467146714672
-0.5172435227535719,-0.8561220404836811,14.676467646764678
-0.5215177504686082,-0.8535287998209443,14.681468146814682
-0.5257788398909133,-0.8509140773725529,14.686468646864688
-0.530026685380544,-0.8482779354864709,14.691469146914692
-0.5342611817094893,-0.845620437120774,14.696469646964697
-0.5384822240616584,-0.8429416458436567,14.701470147014701
-0.5426897080328923,-0.8402416258334251,14.706470647064707
-0.5468835296309542,-0.8375204418785034,14.711471147114713
-0.5510635852755332,-0.8347781593774306,14.716471647164717
-0.5552297717982491,-0.8320148443388586,14.721472147214723
-0.5593819864426416,-0.8292305633815582,14.726472647264726
-0.5635201268641828,-0.8264253837344113,14.731473147314732
-0.5676440911302667,-0.8235993732364182,14.736473647364738
-0.5717537777202131,-0.8207526003366943,14.741474147414742
-0.5758490855252724,-0.8178851340944674,14.746474647464748
-0.5799299138486154,-0.8149970441790844,14.751475147514752
-0.5839961624053449,-0.8120884008700034,14.756475647564757
-0.5880477313224841,-0.8091592750568017,14.761476147614761
-0.592084521138988,-0.8062097382391682,14.766476647664767
-0.5961064328057336,-0.8032398625269093,14.771477147714773
-0.6001133676855237,-0.8002497206399473,14.776477647764777
